,join_col
1492,013-DONA ANA COUNTY PRECINCT 001
1493,013-DONA ANA COUNTY PRECINCT 002
1494,013-DONA ANA COUNTY PRECINCT 003
1495,013-DONA ANA COUNTY PRECINCT 004
1496,013-DONA ANA COUNTY PRECINCT 005
1497,013-DONA ANA COUNTY PRECINCT 006
1498,013-DONA ANA COUNTY PRECINCT 007
1499,013-DONA ANA COUNTY PRECINCT 008
1500,013-DONA ANA COUNTY PRECINCT 009
1501,013-DONA ANA COUNTY PRECINCT 010
1502,013-DONA ANA COUNTY PRECINCT 011
1503,013-DONA ANA COUNTY PRECINCT 012
1504,013-DONA ANA COUNTY PRECINCT 013
1505,013-DONA ANA COUNTY PRECINCT 014
1506,013-DONA ANA COUNTY PRECINCT 015
1507,013-DONA ANA COUNTY PRECINCT 016
1508,013-DONA ANA COUNTY PRECINCT 017
1509,013-DONA ANA COUNTY PRECINCT 018
1510,013-DONA ANA COUNTY PRECINCT 019
1511,013-DONA ANA COUNTY PRECINCT 020
1512,013-DONA ANA COUNTY PRECINCT 021
1513,013-DONA ANA COUNTY PRECINCT 022
1514,013-DONA ANA COUNTY PRECINCT 023
1515,013-DONA ANA COUNTY PRECINCT 024
1516,013-DONA ANA COUNTY PRECINCT 025
1517,013-DONA ANA COUNTY PRECINCT 026
1518,013-DONA ANA COUNTY PRECINCT 027
1519,013-DONA ANA COUNTY PRECINCT 028
1520,013-DONA ANA COUNTY PRECINCT 029
1521,013-DONA ANA COUNTY PRECINCT 030
1522,013-DONA ANA COUNTY PRECINCT 031
1523,013-DONA ANA COUNTY PRECINCT 032
1524,013-DONA ANA COUNTY PRECINCT 033
1525,013-DONA ANA COUNTY PRECINCT 034
1526,013-DONA ANA COUNTY PRECINCT 035
1527,013-DONA ANA COUNTY PRECINCT 036
1528,013-DONA ANA COUNTY PRECINCT 037
1529,013-DONA ANA COUNTY PRECINCT 038
1530,013-DONA ANA COUNTY PRECINCT 039
1531,013-DONA ANA COUNTY PRECINCT 040
1532,013-DONA ANA COUNTY PRECINCT 041
1533,013-DONA ANA COUNTY PRECINCT 042
1534,013-DONA ANA COUNTY PRECINCT 043
1535,013-DONA ANA COUNTY PRECINCT 044
1536,013-DONA ANA COUNTY PRECINCT 045
1537,013-DONA ANA COUNTY PRECINCT 046
1538,013-DONA ANA COUNTY PRECINCT 047
1539,013-DONA ANA COUNTY PRECINCT 048
1540,013-DONA ANA COUNTY PRECINCT 049
1541,013-DONA ANA COUNTY PRECINCT 050
1542,013-DONA ANA COUNTY PRECINCT 051
1543,013-DONA ANA COUNTY PRECINCT 052
1544,013-DONA ANA COUNTY PRECINCT 053
1545,013-DONA ANA COUNTY PRECINCT 054
1546,013-DONA ANA COUNTY PRECINCT 055
1547,013-DONA ANA COUNTY PRECINCT 056
1548,013-DONA ANA COUNTY PRECINCT 057
1549,013-DONA ANA COUNTY PRECINCT 058
1550,013-DONA ANA COUNTY PRECINCT 059
1551,013-DONA ANA COUNTY PRECINCT 060
1552,013-DONA ANA COUNTY PRECINCT 061
1553,013-DONA ANA COUNTY PRECINCT 062
1554,013-DONA ANA COUNTY PRECINCT 063
1555,013-DONA ANA COUNTY PRECINCT 064
1556,013-DONA ANA COUNTY PRECINCT 065
1557,013-DONA ANA COUNTY PRECINCT 066
1558,013-DONA ANA COUNTY PRECINCT 067
1559,013-DONA ANA COUNTY PRECINCT 068
1560,013-DONA ANA COUNTY PRECINCT 069
1561,013-DONA ANA COUNTY PRECINCT 070
1562,013-DONA ANA COUNTY PRECINCT 071
1563,013-DONA ANA COUNTY PRECINCT 072
1564,013-DONA ANA COUNTY PRECINCT 073
1565,013-DONA ANA COUNTY PRECINCT 074
1566,013-DONA ANA COUNTY PRECINCT 075
1567,013-DONA ANA COUNTY PRECINCT 076
1568,013-DONA ANA COUNTY PRECINCT 077
1569,013-DONA ANA COUNTY PRECINCT 078
1570,013-DONA ANA COUNTY PRECINCT 079
1571,013-DONA ANA COUNTY PRECINCT 080
1572,013-DONA ANA COUNTY PRECINCT 081
1573,013-DONA ANA COUNTY PRECINCT 082
1574,013-DONA ANA COUNTY PRECINCT 083
1575,013-DONA ANA COUNTY PRECINCT 084
1576,013-DONA ANA COUNTY PRECINCT 085
1577,013-DONA ANA COUNTY PRECINCT 086
1578,013-DONA ANA COUNTY PRECINCT 087
1579,013-DONA ANA COUNTY PRECINCT 088
1580,013-DONA ANA COUNTY PRECINCT 089
1581,013-DONA ANA COUNTY PRECINCT 090
1582,013-DONA ANA COUNTY PRECINCT 091
1583,013-DONA ANA COUNTY PRECINCT 092
1584,013-DONA ANA COUNTY PRECINCT 093
1585,013-DONA ANA COUNTY PRECINCT 094
1586,013-DONA ANA COUNTY PRECINCT 095
1587,013-DONA ANA COUNTY PRECINCT 096
1588,013-DONA ANA COUNTY PRECINCT 097
1589,013-DONA ANA COUNTY PRECINCT 098
1590,013-DONA ANA COUNTY PRECINCT 099
1591,013-DONA ANA COUNTY PRECINCT 100
1592,013-DONA ANA COUNTY PRECINCT 101
1593,013-DONA ANA COUNTY PRECINCT 102
1594,013-DONA ANA COUNTY PRECINCT 103
1595,013-DONA ANA COUNTY PRECINCT 104
1596,013-DONA ANA COUNTY PRECINCT 105
1597,013-DONA ANA COUNTY PRECINCT 106
1598,013-DONA ANA COUNTY PRECINCT 107
1599,013-DONA ANA COUNTY PRECINCT 108
1600,013-DONA ANA COUNTY PRECINCT 109
1601,013-DONA ANA COUNTY PRECINCT 110
1602,013-DONA ANA COUNTY PRECINCT 111
1603,013-DONA ANA COUNTY PRECINCT 112
1604,013-DONA ANA COUNTY PRECINCT 113
1605,013-DONA ANA COUNTY PRECINCT 114
1606,013-DONA ANA COUNTY PRECINCT 115
1607,013-DONA ANA COUNTY PRECINCT 116
1608,013-DONA ANA COUNTY PRECINCT 117
1609,013-DONA ANA COUNTY PRECINCT 118
1610,013-DONA ANA COUNTY PRECINCT 119
1611,013-DONA ANA COUNTY PRECINCT 120
1612,023-HIDALGO COUNTY PRECINCT 1 - LORDSBURG/WEST
1613,023-HIDALGO COUNTY PRECINCT 2 - LORDSBURGE/CENTRAL
1614,023-HIDALGO COUNTY PRECINCT 3 - LORDSBURG/EAST
1615,023-HIDALGO COUNTY PRECINCT 4 - VIRDEN
1616,023-HIDALGO COUNTY PRECINCT 5 - RODEO
1617,023-HIDALGO COUNTY PRECINCT 6 - ANIMAS
1618,043-SANDOVAL COUNTY PRECINCT 076
